id;isHead;sHeadDate;sGHeadDate;sTotal;sTarget;isTarget;isNotOnlyTarget;cDaysBetween;isSameDay;isLater;isEarlier;cBus;cEmpl;cCust;isSameOrNever;isLaterOrNever;sGS;sG;sT;sS;isRep;isBF;cSMen;cAMen;dFirstSale;cWorkMonth;cSaleMonth;isServer;isBUCorp;is50lic;isEGG;isBuh;isZUP;isKPR;isUT;isBS;isAnyBuh;isBTOR;isService;isLicense;isPOS
872112;1;30450;30450;47754;0;0;0;0;0;0;0;2;15;1;1;1;30450;30450;0;0;0;0;1;3;42415;8;8;0;1;0;0;1;0;0;0;0;1;0;0;0;0
968567;1;16800;16800;99715;0;0;0;0;0;0;0;3;15;1;1;1;91615;16800;0;74815;0;0;1;8;42381;10;10;0;1;0;0;1;0;0;0;0;1;0;1;0;0
413180;1;3300;3300;19109;0;0;0;0;0;0;0;4;10;1;1;1;5790;3300;0;2490;0;0;4;6;42400;10;10;0;0;0;0;1;0;0;0;0;1;0;1;0;1
639548;1;3300;3300;25548;0;0;0;0;0;0;0;2;10;1;1;1;3300;3300;0;0;0;0;2;2;42400;9;9;0;0;0;0;1;0;0;0;0;1;0;0;0;0
1114937;1;30400;30400;53647;0;0;0;0;0;0;0;2;100;1;1;1;30400;30400;0;0;0;0;3;3;42400;9;9;0;0;0;0;1;0;0;1;0;1;0;0;0;0
266949;1;30400;30400;55824;0;0;0;0;0;0;0;2;1;1;1;1;30400;30400;0;0;0;0;2;5;42400;9;9;0;0;0;0;1;0;0;1;0;1;0;0;0;0
1114494;1;13000;13000;26184;0;0;0;0;0;0;0;2;10;1;1;1;13000;13000;0;0;0;0;1;5;42404;8;8;0;0;0;0;1;0;0;0;0;1;0;0;0;0
288192;1;22000;13000;41776;0;0;0;0;0;0;0;3;5;1;1;1;22000;13000;9000;0;0;0;2;5;42466;3;2;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1116061;1;1650;1650;1650;0;0;0;0;0;0;0;1;6;1;1;1;1650;1650;0;0;0;0;1;1;42472;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
1113052;1;3300;3300;34917;0;0;0;0;0;0;0;3;9;1;1;1;8280;3300;0;4980;0;0;3;4;42400;9;9;0;0;0;0;1;0;0;0;0;1;0;1;0;0
800627;1;23350;23350;125614;0;0;0;0;0;0;0;3;80;1;1;1;95950;73050;0;22900;0;0;4;8;42400;9;5;0;1;0;0;1;0;0;0;0;1;0;1;1;0
1178637;1;-6000;-6000;11280;0;0;0;0;0;0;0;1;0;1;1;1;11280;11280;0;0;0;0;1;2;42384;2;2;0;0;0;0;1;0;0;0;0;1;0;0;1;0
57984;1;44775;44475;62988;0;0;0;0;0;0;0;4;80;1;1;1;51040;44475;0;6565;0;0;2;2;42400;9;8;0;1;0;0;1;0;0;0;0;1;0;1;0;0
568666;1;20500;20500;30060;0;0;0;0;0;0;0;2;15;1;1;1;30060;20500;0;9560;0;0;2;4;42517;6;5;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1118817;1;17700;17700;633094;0;0;0;0;0;0;0;3;1132;1;1;1;611670;32100;0;579570;0;0;3;7;42384;9;9;0;0;0;0;1;0;0;0;0;1;0;1;0;0
453022;1;114550;114550;2683143;28100;1;1;0;1;0;0;2;5650;1;1;0;2683143;114550;0;2568593;0;0;1;5;42382;10;8;0;0;0;0;1;1;0;0;0;1;0;1;0;0
609410;1;4800;4800;4800;0;0;0;0;0;0;0;1;16;1;1;1;4800;4800;0;0;0;0;1;2;42608;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
523696;1;14300;14300;547302;0;0;0;0;0;0;0;2;0;1;1;1;14300;14300;0;0;0;0;1;4;42430;7;6;0;0;0;0;1;0;0;0;0;1;0;0;1;1
1112860;1;14400;14400;26760;0;0;0;0;0;0;0;2;70;1;1;1;14400;14400;0;0;0;0;3;3;42400;9;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0
713311;1;9650;9650;49328;2300;1;1;0;1;0;0;3;27;1;1;0;27080;9650;0;17430;0;0;4;2;42400;9;9;0;0;0;0;1;1;0;0;0;1;0;1;1;0
563906;1;24400;24400;51138;4600;1;1;0;1;0;0;3;10;1;1;0;26890;24400;0;2490;0;0;4;4;42391;9;9;0;0;0;0;1;1;0;0;0;1;0;1;1;0
632210;1;13000;13000;34208;17400;1;1;0;1;0;0;2;25;1;1;0;13000;13000;0;0;0;0;2;4;42400;9;9;0;0;0;0;1;1;0;0;0;1;0;0;0;0
368518;1;1650;1650;18415;0;0;0;0;0;0;0;2;1;1;1;1;5190;5190;0;0;0;0;13;24;42380;10;10;0;0;0;0;1;0;0;0;0;1;0;0;0;0
381161;1;12117;12117;34365;16232;1;1;0;1;0;0;2;40;1;1;0;12117;12117;0;0;0;0;2;4;42460;7;7;0;0;0;0;1;1;0;0;0;1;0;0;0;0
524883;1;20750;20750;86390;0;0;0;0;0;0;0;2;3;1;1;1;86390;27050;0;59340;0;0;1;3;42400;9;9;0;1;0;0;1;0;0;0;0;1;0;1;1;0
63380;1;3300;3300;3300;0;0;0;0;0;0;0;1;1;1;1;1;3300;3300;0;0;0;0;1;2;42474;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
524820;1;3300;3300;3300;4600;1;1;0;1;0;0;1;100;1;1;0;3300;3300;0;0;0;0;1;3;42447;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0
526301;1;33600;33600;1297072;0;0;0;0;0;0;0;6;3;1;1;1;55200;55200;0;0;0;0;7;5;42382;9;9;0;1;0;0;1;0;0;0;0;1;0;0;1;1
533010;1;20750;20750;308784;0;0;0;0;0;0;0;3;60;1;1;1;291480;118350;0;173130;0;0;3;4;42400;9;9;0;1;0;0;1;0;0;0;0;1;0;1;1;0
